Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2014-05-11,40,2232,1005475,462,446,451
2014-05-12,41,6393,2858303,453,442,447
2014-05-13,26,3367,1527250,460,440,452
2014-05-15,19,1498,672591,453,446,450
2014-05-18,29,2406,1062455,449,433,438
2014-05-19,44,3738,1648612,445,435,441
2014-05-20,26,1380,604137,442,436,440
2014-05-21,27,1436,630316,442,436,439
2014-05-22,30,3420,1506284,445,437,441
2014-05-25,21,1964,874085,451,440,440
2014-05-26,23,2068,916313,448,436,439
2014-05-27,25,2651,1168679,443,438,442
2014-05-28,32,3465,1555696,459,441,455
2014-06-01,34,3419,1534885,454,442,449
2014-06-02,58,5675,2559270,460,441,460
2014-06-03,39,3237,1497446,483,455,465
2014-06-04,34,4933,2231099,456,450,450
2014-06-05,27,1460,655013,455,441,451
2014-06-08,42,4810,2137728,452,442,445
2014-06-09,24,3135,1390085,447,442,442
2014-06-10,63,6762,3048601,460,440,451
2014-06-11,55,7845,3618724,472,442,459
2014-06-12,37,5318,2449340,468,450,456
2014-06-15,83,21646,10384789,498,456,498
2014-06-16,90,17798,8894533,511,485,504
2014-06-17,77,13316,6679205,511,485,0
2014-06-18,67,5595,2815179,506,498,504
2014-06-19,43,4887,2433073,500,495,497
2014-06-23,24,2822,1392972,499,490,492
2014-06-24,72,4915,2379604,493,473,486
2014-06-25,58,5342,2611158,495,481,490
2014-06-26,25,2294,1124885,495,486,490
2014-06-29,64,6659,3352126,535,494,535
2014-06-30,123,17816,9248469,539,510,535
2014-07-01,87,16496,8688752,536,515,530
2014-07-02,55,8711,4581490,532,520,526
2014-07-03,74,10454,5471823,540,511,540
2014-07-06,77,10936,5934234,550,535,550
2014-07-07,90,23528,12913417,571,540,571
2014-07-08,183,75326,47099142,628,575,628
2014-07-09,218,64933,43299474,690,630,660
2014-07-10,139,53832,35530679,690,645,677
2014-07-13,158,41709,29179671,739,677,698
2014-07-14,199,41992,29488397,725,687,690
2014-07-15,99,13822,9495058,693,680,690
2014-07-16,94,15232,10654212,756,682,756
2014-07-17,138,20796,14870226,742,700,729
2014-07-20,124,17347,12664584,770,715,726
2014-07-21,128,23797,17135329,740,700,740
2014-07-22,129,26067,18395942,729,700,715
2014-07-23,89,19797,13946533,711,698,710
2014-07-24,122,18897,13278013,709,694,703
2014-07-27,122,19175,13359885,700,690,699
2014-07-28,59,11965,8266627,696,686,695
2014-07-30,136,18615,12729507,700,670,680
2014-07-31,127,17974,12129488,685,666,671
2014-08-03,127,14283,9369036,662,650,659
2014-08-04,128,16927,10936168,656,641,650
2014-08-05,120,19507,12914583,670,648,657
